Gmt time,Open,High,Low,Close,Volume
01.05.2018 17:00:00.000,1.36261,1.36261,1.36124,1.36167,5446.7798
01.05.2018 18:00:00.000,1.36166,1.36245,1.36113,1.36132,6270.8701
01.05.2018 19:00:00.000,1.36131,1.36179,1.36079,1.36117,5183.5898
01.05.2018 20:00:00.000,1.36117,1.36168,1.36084,1.36124,3416.78
01.05.2018 21:00:00.000,1.36124,1.36175,1.36104,1.36130,854.21
01.05.2018 22:00:00.000,1.36127,1.36149,1.36089,1.36092,1715.98
01.05.2018 23:00:00.000,1.36092,1.36100,1.36057,1.36082,1148.89
02.05.2018 00:00:00.000,1.36082,1.36136,1.36024,1.36048,3077.97
02.05.2018 01:00:00.000,1.36046,1.36166,1.36046,1.36160,2766.8701
02.05.2018 02:00:00.000,1.36159,1.36195,1.36118,1.36125,2572.24
02.05.2018 03:00:00.000,1.36125,1.36186,1.36124,1.36140,1913.64
02.05.2018 04:00:00.000,1.36140,1.36150,1.36119,1.36126,1886.76
02.05.2018 05:00:00.000,1.36127,1.36131,1.35952,1.35966,3784.21
02.05.2018 06:00:00.000,1.35966,1.36236,1.35804,1.36090,9590.8496
02.05.2018 07:00:00.000,1.36090,1.36395,1.36070,1.36235,9971.0195
02.05.2018 08:00:00.000,1.36238,1.36493,1.36219,1.36423,10616.8604
02.05.2018 09:00:00.000,1.36423,1.36639,1.36361,1.36564,7273.71
02.05.2018 10:00:00.000,1.36565,1.36656,1.36432,1.36522,7578.7998
02.05.2018 11:00:00.000,1.36522,1.36585,1.36279,1.36396,8057.6401
02.05.2018 12:00:00.000,1.36396,1.36580,1.36331,1.36579,10727.25
02.05.2018 13:00:00.000,1.36578,1.36649,1.36000,1.36029,10179.0801
02.05.2018 14:00:00.000,1.36029,1.36200,1.35958,1.35990,11908.0303
02.05.2018 15:00:00.000,1.35988,1.36100,1.35913,1.36080,10427.5195
02.05.2018 16:00:00.000,1.36084,1.36100,1.35935,1.36007,7124.9902
02.05.2018 17:00:00.000,1.36007,1.36030,1.35895,1.35939,7224.1499
02.05.2018 18:00:00.000,1.35939,1.36519,1.35899,1.36045,19925.1191
02.05.2018 19:00:00.000,1.36047,1.36057,1.35546,1.35660,12269.2998
02.05.2018 20:00:00.000,1.35650,1.35734,1.35605,1.35718,5639.46
02.05.2018 21:00:00.000,1.35716,1.35773,1.35702,1.35760,1090.2
02.05.2018 22:00:00.000,1.35757,1.35772,1.35715,1.35730,1330.91
02.05.2018 23:00:00.000,1.35734,1.35774,1.35699,1.35717,2269.5
03.05.2018 00:00:00.000,1.35717,1.35872,1.35694,1.35865,3593
03.05.2018 01:00:00.000,1.35867,1.35991,1.35821,1.35933,4663.8398
03.05.2018 02:00:00.000,1.35934,1.35953,1.35861,1.35933,2991.29
03.05.2018 03:00:00.000,1.35933,1.35988,1.35914,1.35956,2828.1299
03.05.2018 04:00:00.000,1.35956,1.35983,1.35925,1.35974,1971.3199
03.05.2018 05:00:00.000,1.35973,1.36076,1.35960,1.36017,3689.45
03.05.2018 06:00:00.000,1.36017,1.36081,1.35909,1.35962,7364.7202
03.05.2018 07:00:00.000,1.35962,1.36239,1.35837,1.36156,10687.8301
03.05.2018 08:00:00.000,1.36158,1.36293,1.35860,1.35867,11737.3496
03.05.2018 09:00:00.000,1.35858,1.36065,1.35735,1.36009,12686.6201
03.05.2018 10:00:00.000,1.36009,1.36192,1.35842,1.35871,8462.3398
03.05.2018 11:00:00.000,1.35871,1.35998,1.35773,1.35998,10391.5498
03.05.2018 12:00:00.000,1.36001,1.36073,1.35825,1.35881,11654.5801
03.05.2018 13:00:00.000,1.35881,1.35956,1.35779,1.35830,9147.1602
03.05.2018 14:00:00.000,1.35833,1.35940,1.35377,1.35398,14862.0801
03.05.2018 15:00:00.000,1.35396,1.35685,1.35382,1.35684,11587.6299
03.05.2018 16:00:00.000,1.35681,1.35835,1.35631,1.35815,9250.6396
03.05.2018 17:00:00.000,1.35817,1.35823,1.35666,1.35691,6858.8799
03.05.2018 18:00:00.000,1.35694,1.35853,1.35675,1.35697,6867.0498
03.05.2018 19:00:00.000,1.35698,1.35818,1.35683,1.35684,6969.1099
03.05.2018 20:00:00.000,1.35683,1.35780,1.35678,1.35729,3402.6699
03.05.2018 21:00:00.000,1.35713,1.35775,1.35701,1.35740,1822.48
03.05.2018 22:00:00.000,1.35740,1.35743,1.35699,1.35704,1229.4399
03.05.2018 23:00:00.000,1.35704,1.35719,1.35686,1.35713,1185.3199
04.05.2018 00:00:00.000,1.35713,1.35786,1.35692,1.35759,1921.64
04.05.2018 01:00:00.000,1.35759,1.35854,1.35734,1.35830,2742.3601
04.05.2018 02:00:00.000,1.35831,1.35856,1.35758,1.35775,1810.74
04.05.2018 03:00:00.000,1.35773,1.35836,1.35771,1.35802,1908.64
04.05.2018 04:00:00.000,1.35802,1.35837,1.35773,1.35773,1611.97
04.05.2018 05:00:00.000,1.35772,1.35815,1.35744,1.35757,1920.04
04.05.2018 06:00:00.000,1.35755,1.35756,1.35539,1.35597,6827.9399
04.05.2018 07:00:00.000,1.35597,1.35707,1.35544,1.35643,7914.8101
04.05.2018 08:00:00.000,1.35643,1.35797,1.35435,1.35461,6687.0498
04.05.2018 09:00:00.000,1.35459,1.35580,1.35421,1.35543,6205.3999
04.05.2018 10:00:00.000,1.35545,1.35718,1.35472,1.35673,4315.9902
04.05.2018 11:00:00.000,1.35673,1.35705,1.35562,1.35672,5989.46
04.05.2018 12:00:00.000,1.35672,1.35825,1.35500,1.35656,14496.5703
04.05.2018 13:00:00.000,1.35656,1.35670,1.34861,1.35061,18095.6699
04.05.2018 14:00:00.000,1.35063,1.35275,1.35022,1.35160,10095.2598
04.05.2018 15:00:00.000,1.35160,1.35383,1.35130,1.35338,9356.3398
04.05.2018 16:00:00.000,1.35337,1.35483,1.35258,1.35456,8348.8203
04.05.2018 17:00:00.000,1.35456,1.35522,1.35381,1.35451,4858.4702
04.05.2018 18:00:00.000,1.35449,1.35496,1.35402,1.35435,5909.4199
04.05.2018 19:00:00.000,1.35436,1.35442,1.35343,1.35349,3489.3701
04.05.2018 20:00:00.000,1.35350,1.35376,1.35232,1.35253,2800.6699
04.05.2018 21:00:00.000,1.35253,1.35253,1.35253,1.35253,0
04.05.2018 22:00:00.000,1.35253,1.35253,1.35253,1.35253,0
04.05.2018 23:00:00.000,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 00:00:00.000,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 01:00:00.000,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 02:00:00.000,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 03:00:00.000,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 04:00:00.000,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 05:00:00.000,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 06:00:00.000,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 07:00:00.000,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 08:00:00.000,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 09:00:00.000,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 10:00:00.000,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 11:00:00.000,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 12:00:00.000,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 13:00:00.000,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 14:00:00.000,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 15:00:00.000,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 16:00:00.000,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 17:00:00.000,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 18:00:00.000,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 19:00:00.000,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 20:00:00.000,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 21:00:00.000,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 22:00:00.000,1.35253,1.35253,1.35253,1.35253,0
05.05.2018 23:00:00.000,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 00:00:00.000,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 01:00:00.000,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 02:00:00.000,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 03:00:00.000,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 04:00:00.000,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 05:00:00.000,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 06:00:00.000,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 07:00:00.000,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 08:00:00.000,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 09:00:00.000,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 10:00:00.000,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 11:00:00.000,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 12:00:00.000,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 13:00:00.000,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 14:00:00.000,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 15:00:00.000,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 16:00:00.000,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 17:00:00.000,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 18:00:00.000,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 19:00:00.000,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 20:00:00.000,1.35253,1.35253,1.35253,1.35253,0
06.05.2018 21:00:00.000,1.35327,1.35355,1.35298,1.35338,537.04
06.05.2018 22:00:00.000,1.35339,1.35381,1.35301,1.35366,1181.23
06.05.2018 23:00:00.000,1.35364,1.35390,1.35310,1.35311,1497.3199
07.05.2018 00:00:00.000,1.35312,1.35464,1.35293,1.35464,2586.6001
07.05.2018 01:00:00.000,1.35467,1.35535,1.35433,1.35487,2583.03
07.05.2018 02:00:00.000,1.35488,1.35583,1.35481,1.35567,2096.22
07.05.2018 03:00:00.000,1.35569,1.35644,1.35537,1.35540,2062.6399
07.05.2018 04:00:00.000,1.35540,1.35545,1.35471,1.35496,1831.03
07.05.2018 05:00:00.000,1.35496,1.35509,1.35352,1.35494,2520.5601
07.05.2018 06:00:00.000,1.35493,1.35493,1.35354,1.35425,5026.6201
